Platform,Year,Genre,Publisher,Global Sales
6,10,10,21,1.76
1,16,8,6,1.76
10,13,4,7,1.76
23,6,8,9,1.76
21,1,8,7,1.76
1,16,10,1,1.76
9,14,5,4,1.76
1,14,1,10,1.76
3,25,5,10,1.76
5,24,1,14,1.76
10,19,1,6,1.76
5,27,5,2,1.76
1,16,9,1,1.76
3,19,2,1,1.76
1,13,9,2,1.76
6,10,2,1,1.75
3,25,4,14,1.75
9,16,5,2,1.75
1,13,2,5,1.75
5,19,5,20,1.75
21,3,12,7,1.75
16,5,8,11,1.75
21,5,8,7,1.75
2,21,9,19,1.75
1,20,9,5,1.75
10,16,3,6,1.75
6,11,6,29,1.74
1,14,4,3,1.74
3,23,5,151,1.74
4,21,3,50,1.74
17,27,7,20,1.74
4,22,8,9,1.74
15,8,7,7,1.74
6,10,2,1,1.74
14,26,4,2,1.74
13,23,5,8,1.74
3,26,5,2,1.73
1,13,2,1,1.73
14,28,5,2,1.73
6,10,1,122,1.73
22,13,1,1,1.73
4,25,1,16,1.73
10,14,8,81,1.73
5,24,1,35,1.73
1,15,1,10,1.72
14,27,5,8,1.72
14,27,4,35,1.72
1,20,5,2,1.72
2,20,9,4,1.72
8,23,5,2,1.72
9,16,2,1,1.72
1,15,4,4,1.72
8,22,9,1,1.71
4,21,12,15,1.71
6,10,8,2,1.71
2,19,3,63,1.71
1,16,9,114,1.71
9,15,7,1,1.71
2,18,3,7,1.71
10,13,12,6,1.71
4,21,2,67,1.7
14,26,7,4,1.7
1,21,2,1,1.7
4,20,2,3,1.7
2,19,12,7,1.7
4,23,8,7,1.7
16,5,12,33,1.7
2,19,1,22,1.7
1,18,2,1,1.7
1,17,5,8,1.69
17,26,2,10,1.69
3,20,1,6,1.69
5,25,1,26,1.69
6,11,3,8,1.69
3,21,4,1,1.69
5,27,2,1,1.69
15,9,10,6,1.69
6,10,10,6,1.69
10,13,1,1,1.69
5,20,7,1,1.69
10,14,4,40,1.69
8,22,11,10,1.69
11,17,1,11,1.69
13,24,1,2,1.69
7,19,5,29,1.68
1,18,3,84,1.68
6,9,2,8,1.68
5,24,1,15,1.68
22,4,12,7,1.68
6,9,5,3,1.68
8,15,9,1,1.68
4,20,1,29,1.68
4,19,9,1,1.68
10,14,1,7,1.68
4,20,2,4,1.67
1,15,2,1,1.67
4,20,2,6,1.67
6,12,2,1,1.67
3,18,10,1,1.67
14,25,8,114,1.67
9,17,5,2,1.67
21,1,8,11,1.67
6,13,2,2,1.67
10,13,6,6,1.67
8,25,11,2,1.67
9,15,7,20,1.67
1,13,7,18,1.67
1,15,2,1,1.67
1,15,8,6,1.67
14,27,1,15,1.66
3,19,1,8,1.66
23,4,10,9,1.66
1,12,2,1,1.66
5,24,5,10,1.66
1,16,2,18,1.66
5,18,7,1,1.66
1,14,2,1,1.66
1,17,10,12,1.66
20,1,12,12,1.65
11,16,3,7,1.65
16,3,5,7,1.65
4,23,3,3,1.65
1,16,4,65,1.65
5,20,5,1,1.65
2,19,4,14,1.64
10,16,8,7,1.64
4,23,1,16,1.64
20,1,12,12,1.64
6,11,5,151,1.64
21,1,1,11,1.64
1,14,2,1,1.64
1,17,2,1,1.64
1,16,1,4,1.64
5,22,9,20,1.64
14,27,6,114,1.64
9,16,2,9,1.63
5,18,9,20,1.63
11,13,11,7,1.63
3,23,8,9,1.63
1,15,2,1,1.63
6,11,8,8,1.63
5,26,2,10,1.63
1,16,2,1,1.62
5,22,1,14,1.62
1,17,2,2,1.62
5,23,5,35,1.62
2,18,2,7,1.62
11,15,7,7,1.62
6,10,7,1,1.62
4,18,4,7,1.61
1,16,2,1,1.61
5,25,5,20,1.61
22,1,2,7,1.61
22,10,11,5,1.61
11,17,2,7,1.61
1,17,3,8,1.61
2,19,1,6,1.61
17,26,5,4,1.61
4,20,9,5,1.6
2,23,3,2,1.6
1,17,1,10,1.6
5,20,1,4,1.6
15,10,7,151,1.6
20,1,5,2,1.6
6,11,1,5,1.6
2,20,4,14,1.6
14,28,1,151,1.6
11,15,8,9,1.6
1,16,2,52,1.59
8,8,4,2,1.59
11,18,1,7,1.59
6,8,10,8,1.59
3,20,1,11,1.59
20,1,8,12,1.59
3,19,2,5,1.59
5,20,10,4,1.59
5,22,1,15,1.59
6,11,7,1,1.59
14,26,5,35,1.58
4,20,2,10,1.58
2,20,3,2,1.58
2,20,9,1,1.58
6,12,3,8,1.58
5,24,7,1,1.58
4,21,3,2,1.58
2,20,3,16,1.58
12,24,1,14,1.58
2,19,1,16,1.58
